date,open,high,low,close,volume,amount
2019-07-22,72.92,83.12,40.84,53.61,36520183.0,3090029200.0
2019-07-23,49.54,59.49,49.5,55.12,17441884.0,1465149100.0
2019-07-24,55.61,56.93,53.73,56.28,13791161.0,1154103600.0
2019-07-25,55.81,59.56,55.47,57.69,16005684.0,1392563700.0
2019-07-26,56.28,57.28,51.58,51.97,12001208.0,981437300.0
2019-07-29,52.12,55.27,52.12,54.28,9232525.0,754176000.0
2019-07-30,54.4,55.94,53.31,55.46,10526392.0,876202400.0
2019-07-31,55.48,60.89,55.48,58.61,16798110.0,1490764800.0
2019-08-01,57.38,60.7,56.9,60.34,16036874.0,1423165400.0
2019-08-02,58.69,67.89,58.33,63.32,21739755.0,2066907100.0
2019-08-05,62.98,66.01,59.71,65.92,16109072.0,1547800200.0
2019-08-06,64.33,70.71,57.95,60.3,21003763.0,2109266700.0000002
2019-08-07,61.64,62.55,56.75,59.64,12660483.0,1138874600.0
2019-08-08,59.63,61.34,57.28,57.28,9782281.0,874599299.9999999
2019-08-09,57.62,58.16,53.93,54.18,9546931.0,801101400.0
2019-08-12,54.1,55.91,52.24,54.89,7021680.0,575536800.0
2019-08-13,54.8,55.52,53.61,55.43,5595248.0,463306200.0
2019-08-14,56.06,56.32,54.93,55.61,5915410.0,497940300.0
2019-08-15,53.91,55.05,53.52,54.94,5346393.0,439399700.0
2019-08-16,54.94,55.88,54.4,54.67,4841838.0,402648200.0
2019-08-19,54.67,55.19,53.33,54.9,6210595.0,509520899.99999994
2019-08-20,54.93,56.28,54.61,55.64,6855238.0,574183800.0
2019-08-21,55.4,56.05,52.59,52.65,7440739.0,606012900.0
2019-08-22,53.59,57.29,53.1,54.67,11053404.0,925638500.0
2019-08-23,53.61,54.13,48.9,49.87,11264204.0,876105399.9999999
2019-08-26,49.77,50.75,48.95,49.51,4700089.0,353410500.0
2019-08-27,49.3,49.99,49.01,49.77,3908419.0,292897000.0
2019-08-28,49.57,49.9,47.89,47.95,4661423.0,345094200.0
2019-08-29,48.09,48.28,46.0,47.22,5494909.0,389484300.0
2019-08-30,47.41,47.79,46.65,46.69,3367142.0,241119800.0
2019-09-02,47.36,48.8,46.69,48.1,4209172.0,305846000.0
2019-09-03,47.75,51.83,47.74,50.81,7565368.0,575654800.0
2019-09-04,51.46,54.86,50.83,51.18,9248514.0,739900100.0
2019-09-05,50.77,52.45,50.24,51.51,5786848.0,449703500.0
2019-09-06,50.91,51.7,49.57,49.7,4509972.0,344287300.00000006
2019-09-09,49.9,51.19,49.7,50.42,3400839.0,260159199.99999997
2019-09-10,50.44,51.91,50.44,50.87,3453237.0,267366600.0
2019-09-11,50.85,51.42,50.32,50.32,2840615.0,218384400.0
2019-09-12,50.32,50.42,47.97,48.25,3993047.0,293891900.0
2019-09-16,48.26,48.8,48.11,48.37,1824180.0,133578500.0
2019-09-17,48.11,48.56,47.19,47.2,2020646.0,145816100.0
2019-09-18,47.22,47.44,46.22,46.55,1900315.0,134071200.00000001
2019-09-19,46.55,48.38,46.37,47.91,3092492.0,224029800.0
2019-09-20,47.57,48.85,47.57,48.51,2681099.0,196235900.0
2019-09-23,48.43,50.69,46.99,50.22,3753503.0,278171200.0
2019-09-24,49.9,55.81,49.72,53.97,11289066.0,916838600.0
2019-09-25,53.52,54.2,50.83,51.04,6255140.0,492648300.0
2019-09-26,51.5,51.58,46.81,46.86,6068111.0,445280000.0
2019-09-27,46.87,48.76,46.2,47.93,3232391.0,232385700.0
2019-09-30,47.89,48.19,44.85,45.44,3680576.0,256385800.00000003
2019-10-08,44.81,45.84,43.97,44.14,2498744.0,169964199.99999997
2019-10-09,44.06,45.2,43.77,45.07,1543275.0,104680600.0
2019-10-10,45.34,46.08,44.97,45.77,1693131.0,116835600.0
2019-10-11,45.93,45.93,44.63,44.83,1706595.0,116375100.0
2019-10-14,45.3,45.52,44.2,45.11,2151170.0,146959600.0
2019-10-15,45.02,45.38,43.98,44.01,1988198.0,134219900.0
2019-10-16,44.13,44.39,42.67,42.72,2181753.0,143481200.0
2019-10-17,42.68,42.95,41.83,41.97,1730317.0,110874000.0
2019-10-18,42.18,43.35,42.05,42.28,2104100.0,136530400.0
2019-10-21,41.91,42.18,39.55,40.48,2415364.0,149199200.0
2019-10-22,40.17,41.26,40.17,40.86,1163414.0,71999000.0
2019-10-23,40.86,43.71,40.51,43.01,3042153.0,195589500.0
2019-10-24,42.52,43.31,41.91,42.03,2127019.0,137565400.0
2019-10-25,41.77,42.14,40.69,41.14,1416205.0,88773600.0
2019-10-28,41.65,43.84,41.65,43.42,2896490.0,188916300.0
2019-10-29,44.75,44.8,42.74,42.74,2873710.0,190794100.0
2019-10-30,42.18,45.17,41.85,43.52,3876265.0,259054400.0
2019-10-31,43.79,45.3,43.26,44.6,3980463.0,269176000.0
2019-11-01,44.17,47.99,43.97,46.27,5294600.0,370606600.00000006
2019-11-04,46.88,47.94,46.08,46.74,3872555.0,275503400.0
2019-11-05,46.28,47.14,45.42,45.85,3318874.0,231914700.0
2019-11-06,45.57,46.68,43.77,44.03,3166810.0,217462599.99999997
2019-11-07,44.04,46.3,43.84,45.94,3648855.0,249796600.0
2019-11-08,45.76,47.93,45.44,45.46,4240114.0,299965000.0
2019-11-11,44.75,45.01,43.12,43.19,3130360.0,209184100.0
2019-11-12,43.07,44.03,43.07,43.38,1770264.0,116855200.0
2019-11-13,43.4,46.55,43.38,45.93,4647475.0,319736800.0
2019-11-14,45.75,47.14,45.4,46.38,4269880.0,299610700.0
2019-11-15,45.91,48.12,45.91,46.48,4503539.0,322700700.0
2019-11-18,46.34,47.34,45.66,46.2,2115543.0,148241800.0
2019-11-19,46.68,47.88,46.42,47.85,3449643.0,247395300.0
2019-11-20,48.16,48.56,47.01,47.42,3100652.0,224095700.0
2019-11-21,47.25,48.41,46.6,46.73,2461175.0,176755099.99999997
2019-11-22,46.66,47.62,44.52,45.25,3370180.0,234189500.0
2019-11-25,45.01,45.17,42.52,42.95,3078744.0,202841900.0
2019-11-26,43.09,43.52,42.66,42.89,1234847.0,80607100.0
2019-11-27,42.95,44.53,42.7,43.97,2302521.0,153153900.0
2019-11-28,43.89,44.79,43.89,44.44,1853424.0,124676000.0
2019-11-29,44.21,44.76,43.73,44.07,1205793.0,80749200.0
2019-12-02,44.2,44.97,43.9,44.13,1460986.0,98572900.00000001
2019-12-03,43.5,43.5,42.03,42.85,2340442.0,151406900.0
2019-12-04,42.55,48.28,42.55,46.53,6489169.0,452787100.0
2019-12-05,46.48,47.95,45.73,47.35,5191798.0,370005600.0
2019-12-06,47.55,50.42,47.3,49.43,5411987.0,403950400.0
2019-12-09,50.77,52.81,50.32,51.85,6103986.0,479371000.0
2019-12-10,51.91,54.61,50.94,52.55,6694290.0,533774000.0
2019-12-11,51.92,53.26,51.19,51.61,4522823.0,355911300.0
2019-12-12,51.63,55.71,51.63,54.67,6685733.0,550215700.0
2019-12-13,54.65,55.12,53.26,54.93,4341149.0,354621100.0
2019-12-16,55.6,55.6,53.98,55.14,3295236.0,273146300.0
2019-12-17,55.12,56.68,54.4,55.15,3214298.0,269078100.0
2019-12-18,54.93,56.81,54.93,55.71,3777316.0,319216200.0
2019-12-19,55.46,55.91,52.72,52.85,4172487.0,339155400.0
2019-12-20,52.26,53.39,52.26,52.26,2436785.0,194509700.0
2019-12-23,50.91,51.9,49.48,49.84,3542790.0,271591200.0
2019-12-24,50.26,52.49,50.26,52.32,2727349.0,213759800.0
2019-12-25,52.39,59.03,52.39,58.96,7239213.0,618789900.0
2019-12-26,58.49,63.78,57.96,60.57,7135441.0,659014600.0000001
2019-12-27,60.37,63.32,60.37,62.99,5336789.0,499750300.0
2019-12-30,62.36,64.25,60.89,61.85,3464651.0,326047600.0
2019-12-31,61.94,62.95,60.65,61.24,2275529.0,211602100.0
2020-01-02,61.39,69.01,61.39,68.93,4990693.0,489074800.00000006
2020-01-03,69.7,72.84,67.87,69.0,5024064.0,532436000.0
2020-01-06,67.95,71.25,66.57,68.4,3311728.0,343776100.0
2020-01-07,69.38,71.58,68.02,71.04,3727416.0,393301600.00000006
2020-01-08,70.24,79.13,69.06,78.4,5064967.0,563926800.0
2020-01-09,77.75,81.02,76.43,78.48,3868587.0,456426500.0
2020-01-10,78.76,83.14,75.78,76.75,4848000.0,583585800.0
2020-01-13,75.67,92.18,75.07,89.16,6393744.0,791615900.0
2020-01-14,87.75,99.15,86.55,89.84,7502352.0,1029115800.0
2020-01-15,89.89,98.44,88.16,97.89,5944521.0,830669000.0
2020-01-16,97.89,115.11,96.59,114.0,7353894.0,1181850900.0
2020-01-17,111.89,132.12,106.74,130.78,9108618.0,1608356099.9999998
2020-01-20,125.4,130.24,117.08,118.43,8799789.0,1626728200.0
2020-01-21,118.97,123.25,111.98,113.69,7142737.0,1261914600.0
2020-01-22,111.81,134.1,110.06,134.06,10533096.0,1911814500.0
2020-01-23,127.08,133.1,112.42,122.3,8784483.0,1645310000.0
2020-02-03,103.26,112.5,98.4,100.1,8001014.0,1258564300.0
2020-02-04,106.6,119.69,104.36,118.46,8259352.0,1392653700.0
2020-02-05,120.03,132.45,114.69,119.5,9057068.0,1687910799.9999998
2020-02-06,116.8,124.99,115.49,122.05,6053599.0,1095992300.0
2020-02-07,119.73,133.46,116.52,130.55,8193297.0,1544073900.0000002
2020-02-10,128.22,140.16,125.52,128.83,6726400.0,1327279600.0
2020-02-11,128.77,140.09,128.77,136.14,7039307.0,1420875799.9999998
2020-02-12,134.82,143.52,128.81,137.22,6809966.0,1386317800.0
2020-02-13,140.17,156.12,136.04,144.2,7237109.0,1579399700.0
2020-02-14,144.2,149.55,128.68,136.88,7793969.0,1633434500.0
2020-02-17,136.81,139.74,132.79,137.14,4505530.0,918171700.0
2020-02-18,137.22,146.04,136.28,140.17,5273745.0,1116922700.0
2020-02-19,139.12,143.56,133.38,135.52,5627401.0,1156530600.0
2020-02-20,135.39,136.8,124.07,128.36,7626796.0,1475554200.0000002
2020-02-21,127.42,133.52,126.95,128.75,4755783.0,928465200.0
2020-02-24,126.08,133.45,123.44,131.67,5448285.0,1053684000.0
2020-02-25,126.82,145.26,126.18,144.36,8639828.0,1788155900.0
2020-02-26,139.49,144.87,128.76,130.1,6616353.0,1350870900.0
2020-02-27,131.44,134.11,117.85,120.18,6619311.0,1236834000.0
2020-02-28,110.6,115.34,106.61,107.69,6889882.0,1138770100.0
2020-03-02,110.63,112.65,105.19,106.61,6028486.0,985108800.0
2020-03-03,109.97,115.27,107.95,110.57,6116113.0,1026402700.0
2020-03-04,107.56,109.63,98.75,102.79,6838005.0,1064560800.0
2020-03-05,105.61,107.2,100.94,105.48,5033106.0,786911900.0
2020-03-06,103.26,105.18,100.97,101.73,2963199.0,456949700.0
2020-03-09,98.56,99.89,92.52,93.27,4537348.0,657676700.0
2020-03-10,91.18,104.33,91.18,104.33,8231351.0,1230778500.0
2020-03-11,104.8,105.27,98.16,99.53,4954086.0,754238700.0
2020-03-12,96.53,102.95,94.68,100.81,4068335.0,610573000.0
2020-03-13,96.55,114.85,95.58,110.59,9868236.0,1596609700.0
2020-03-16,112.38,118.75,107.85,111.98,8353991.0,1423544500.0
2020-03-17,115.55,118.66,107.95,116.17,7470821.0,1279858900.0
2020-03-18,118.51,119.88,108.63,108.65,6650414.0,1144312100.0
2020-03-19,108.29,111.65,103.13,110.17,5741775.0,926137300.0
2020-03-20,110.76,112.84,106.09,106.99,3446314.0,564751100.0
2020-03-23,102.59,103.26,89.31,91.97,6538852.0,944600700.0000001
2020-03-24,95.24,96.17,84.71,94.53,6060965.0,829109700.0
2020-03-25,98.56,101.17,95.56,96.41,4844777.0,716320600.0
2020-03-26,95.2,97.72,92.79,93.21,3517229.0,499138399.99999994
2020-03-27,94.2,96.65,92.44,93.47,2536122.0,358507500.0
2020-03-30,89.97,93.19,87.07,91.05,3408296.0,459297200.0
2020-03-31,92.83,95.65,91.08,91.71,2786353.0,390627300.00000006
2020-04-01,89.36,95.4,89.36,92.52,3188401.0,448181900.0
