date,open,high,low,close,volume,amount
2019-07-22,30.46,48.68,21.6,33.75,28812199.0,1201782500.0
2019-07-23,28.89,33.03,27.33,30.83,13971244.0,598684800.0
2019-07-24,31.49,35.39,30.83,35.03,17045933.0,806849500.0
2019-07-25,35.46,38.48,34.03,36.46,18048560.0,925660399.9999999
2019-07-26,35.32,38.18,33.68,38.03,16368339.0,841929000.0
2019-07-29,41.18,45.38,38.82,43.23,19304626.0,1134171300.0
2019-07-30,41.33,46.65,40.68,46.18,18794993.0,1134672200.0
2019-07-31,44.75,46.66,43.07,46.33,16230393.0,1038925100.0
2019-08-01,45.6,48.75,45.18,47.7,16569280.0,1098456900.0
2019-08-02,46.23,53.89,46.19,49.32,21200749.0,1469288400.0
2019-08-05,49.31,53.81,47.25,53.39,16872844.0,1211870400.0
2019-08-06,52.24,55.38,43.46,45.38,18897392.0,1379394800.0
2019-08-07,46.88,47.4,43.03,45.6,11846307.0,754533600.0
2019-08-08,44.75,46.75,41.18,41.18,11131808.0,679798200.0000001
2019-08-09,41.39,43.95,39.5,43.27,13201024.0,779682000.0
2019-08-12,42.95,43.58,40.47,42.6,8501474.0,504830199.99999994
2019-08-13,42.61,43.96,41.18,43.96,11316036.0,683668100.0
2019-08-14,44.75,45.32,43.45,44.98,10745345.0,673478800.0
2019-08-15,43.32,48.23,43.03,47.53,13965524.0,907295100.0
2019-08-16,47.57,47.92,45.9,46.03,10121796.0,666186200.0
2019-08-19,45.39,46.09,43.89,44.88,8011032.0,505691200.0
2019-08-20,44.9,46.91,44.7,45.82,9976807.0,644287400.0
2019-08-21,45.98,45.98,40.33,41.05,11698746.0,702591799.9999999
2019-08-22,40.86,41.77,39.33,39.42,6532441.0,371190199.99999994
2019-08-23,39.88,41.46,36.28,37.75,9326819.0,514695700.0
2019-08-26,38.32,39.18,37.64,38.99,6685705.0,363126700.0
2019-08-27,39.07,41.74,37.52,40.75,10405113.0,582177600.0
2019-08-28,39.85,42.43,39.72,40.48,9165562.0,530913100.0
2019-08-29,39.75,42.19,39.14,41.1,9018809.0,522156800.0
2019-08-30,40.75,43.32,40.75,42.56,10906412.0,647733400.0
2019-09-02,44.03,45.06,42.3,42.57,10502835.0,642777100.0
2019-09-03,41.75,45.98,41.18,44.95,13465936.0,832659900.0
2019-09-04,44.15,45.38,43.14,43.31,8238157.0,510887300.00000006
2019-09-05,43.33,44.12,42.79,43.15,6688914.0,408522400.0
2019-09-06,43.14,43.6,40.46,40.53,7436434.0,439607400.0
2019-09-09,40.82,41.18,40.37,40.93,3757213.0,215874100.0
2019-09-10,40.97,42.25,40.82,40.93,4056760.0,236611000.0
2019-09-11,41.02,41.41,40.3,40.68,3425408.0,197797400.00000003
2019-09-12,40.82,40.82,38.82,39.23,4331264.0,241248900.0
2019-09-16,39.35,40.1,39.18,40.0,2880077.0,161121400.0
2019-09-17,39.81,42.24,39.81,41.12,7985337.0,465131400.0
2019-09-18,40.88,41.15,38.95,39.85,5437708.0,304140500.0
